WKT,OBJECTID,LAENGE,RANG_SUB,SE_ANNO_CAD_DATA
"LINESTRING (16.4403450481781 48.2502621889984,16.4381545912883 48.2504775816251,16.4347710434995 48.2508319981054,16.4331032223671 48.251029534033,16.4321992683735 48.2511282102701,16.4304694440316 48.2512769629188,16.4302058478495 48.2513428064139)",1963750,763,G,
"LINESTRING (16.3273487070337 48.2349333287923,16.32713841134 48.2349238903861)",1963751,15.66,G,
"LINESTRING (16.410708739514 48.2490079092619,16.4105578334907 48.2490592617342,16.4078142700347 48.2496623465847,16.4054744989335 48.2502130689265)",1963752,411.32,B,
"LINESTRING (16.4041241915603 48.2504417366624,16.402483717368 48.2507734757868,16.4010465399641 48.2508421143968,16.3999376972802 48.2511244419742,16.3981890210009 48.2519913901299)",1963753,484.15,B,
"MULTILINESTRING ((16.4709103823671 48.1600004692186,16.4700267878687 48.1601090104312,16.4678424307153 48.1600685515112,16.4664931190595 48.1599841263318,16.4644052946819 48.1600079664291,16.4621249502328 48.1601179431167,16.4603892268502 48.1601768778959,16.4598344121848 48.1601774763028,16.4597232948874 48.1601785823936,16.4595229728283 48.1601430735287),(16.4575127677669 48.1602077010297,16.4580688867913 48.1602332568592,16.459520748205 48.1601430759167))",1963754,999.85,E,
"LINESTRING (16.2856464136236 48.134725140679,16.2849836718254 48.1345852171031,16.2843236285222 48.1345696858473,16.2835042462999 48.1345693135583,16.2831623943684 48.134679297898)",1963755,190.1,B,
"LINESTRING (16.322558327265 48.1442817378375,16.3246645887813 48.1379756272058)",1963756,718.51,G,
"LINESTRING (16.3539235604958 48.1857726612479,16.3550362745577 48.1859738885058)",1963757,,G,
"LINESTRING (16.3543867353016 48.187680141382,16.3536106160117 48.1884532049955)",1963758,,E,
"LINESTRING (16.3246671805575 48.1379758199217,16.3247518838889 48.137770894621,16.3252221077609 48.1359607371606)",1963759,227.94,E,
